Hour,Procured,Selected_Consumers,Total_Mean,Difference
1,0.0,,0.0,0.0
2,0.0,,0.0,0.0
3,0.0,,0.0,0.0
4,0.0,,0.0,0.0
5,0.0,,0.0,0.0
6,0.0,,0.0,0.0
7,0.0,,0.0,0.0
8,0.0,,0.0,0.0
9,0.0,,0.0,0.0
10,0.0,,0.0,0.0
11,11580.586885245895,B11000012;B11000031;B11000077;B11000161;B11000163;B11000233;B11000246;B11000254;B11000264;B11000271;B11000275;B11000284;B11000301;B11000304;B11000328;B11000374;B11000388;B11000402;B11000404;B11000411;B11000518;B11000564;B11000565;B11000583;B11000594;B11000613;B11000714;B11000733;B11000739;B11000742;B11000757;B11000767;B11000792;B11000793;B11000795;B11000798;B11000799;B11000800;B11000801;B11000803;B11000804;B11000841;B11000844;B11000845;B11000868;B11000880;B11000912;B11000921;B11000958;B11000960;B11000962;B11000963;B11000966;B11000967;B11000971;B11000972;B11000975;B11000977;B11000981;B11000982;B11000983;B11000984;B11000989;B11000994;B11000995;B11000996;B11000997;B11001000;B11001006;B11001007;B11001009;B11001015;B11001016;B11001026;B11001027;B11001029;B11001031;B11001032;B11001034;B11001035;B11001036;B11001038;B11001039;B11001040;B11001041;B11001042;B11001043;B11001044;B11001058;B11001060;B11001069;B11001080;B11001081;B11001082;B11001083;B11001084;B11001085;B11001086;B11001087;B11001094;B11001111;B11001113;B11001137;B11001157;B11001264;B11001266;B11001268;B11001270;B11001369;B11001370;B11001371;B11001512;B11001528;B11001608;B11001612;B11001614;B11001615;B11001617;B11001618;B11001620;B11001659;B11001662;B11001668;B11001669;B11001670;B11001673;B11001681;B11001684;B11001686;B11001688;B11001703;B11001709;B11001749;B11001750;B11001751;B11001756;B11001758;B11001763;B11001767;B11001769;B11001771;B11001774;B11001779;B11001781;B11001782;B11001783;B11001785;B11001786;B11001788;B11001790;B11001791;B11001795;B11001797;B11001799;B11001800;B11001801;B11001803;B11001814;B11001818;B11001822;B11001823;B11001827;B11001829;B11001833;B11001835;B11001837;B11001839;B11001840;B11001841;B11001842;B11001845;B11001910;B11001911;B11001916;B11001921;B11001924;B11001925;B11001929;B11001931;B11001932;B11001935;B11001936;B11001937;B11001940;B11001941;B11001942;B11001944;B11001947;B11001951;B11001969;B11001972;B11001974;B11001978;B11001979;B11001980;B11001982;B11001996;B11001998;B11002001;B11002002;B11002004;B11002005;B11002006;B11002009;B11002011;B11002012;B11002014;B11002019;B11002022;B11002023;B11002030;B11002033;B11002035;B11002038;B11002040;B11002044;B11002045;B11002047;B11002050;B11002052;B11002053;B11002054;B11002056;B11002058;B11002059;B11002060;B11002061;B11002063;B11002065;B11002066;B11002069;B11002070;B11002071;B11002073;B11002078;B11002079;B11002080;B11002082;B11002083;B11002084;B11002085;B11002088;B11002092;B11002093;B11002106;B11002109;B11002115;B11002121;B11002122;B11002126;B11002127;B11002128;B11002129;B11002130;B11002132;B11002133;B11002134;B11002137;B11002138;B11002142;B11002143;B11002150;B11002152;B11002156;B11002164;B11002171;B11002172;B11002904;B11003238;B11003266;B11003267;B11003268;B11003270;B11003271;B11003272;B11003274;B11003275;B11003276;B11003277;B11003279;B11003283;B11003284;B11003337;B11003338;B11003344;B11003346;B11003347;B11004473;B11004474;B11004698;B11004705;B11004711;B11005126;B11005129;B11005130;B11005132;B11005133;B11005955;B11005956;B11005968;B11005969;B11005970;B11005971;B11005973;B11005995;B11005996;B11006007;B11006008;B11006110;B11006115;B11006116;B11006123;B11006124;B11006125;B11006126;B11006133;B11006139;B11006140;B11006147;B11006304,11580.590163934427,0.0032786885312816594
12,12005.59672131147,B11000010;B11000076;B11000162;B11000246;B11000284;B11000303;B11000305;B11000308;B11000407;B11000412;B11000446;B11000515;B11000578;B11000599;B11000601;B11000613;B11000678;B11000711;B11000739;B11000758;B11000764;B11000766;B11000800;B11000846;B11000868;B11000881;B11000909;B11000919;B11000927;B11000956;B11000961;B11000962;B11000965;B11000970;B11000979;B11000980;B11000985;B11000987;B11000988;B11000990;B11000993;B11000996;B11000998;B11001005;B11001008;B11001015;B11001017;B11001023;B11001024;B11001029;B11001035;B11001037;B11001040;B11001041;B11001044;B11001055;B11001057;B11001081;B11001082;B11001086;B11001099;B11001135;B11001153;B11001157;B11001264;B11001265;B11001266;B11001268;B11001367;B11001599;B11001607;B11001618;B11001620;B11001622;B11001649;B11001654;B11001656;B11001660;B11001663;B11001669;B11001680;B11001685;B11001687;B11001690;B11001708;B11001710;B11001750;B11001751;B11001756;B11001758;B11001763;B11001765;B11001768;B11001772;B11001779;B11001782;B11001798;B11001799;B11001802;B11001812;B11001815;B11001818;B11001821;B11001823;B11001828;B11001830;B11001833;B11001834;B11001835;B11001841;B11001843;B11001848;B11001909;B11001912;B11001915;B11001917;B11001921;B11001925;B11001926;B11001929;B11001930;B11001932;B11001933;B11001940;B11001942;B11001946;B11001950;B11001955;B11001956;B11001963;B11001967;B11001968;B11001981;B11001989;B11001994;B11002001;B11002007;B11002015;B11002020;B11002026;B11002027;B11002035;B11002038;B11002045;B11002052;B11002058;B11002070;B11002090;B11002098;B11002108;B11002124;B11002131;B11002139;B11002142;B11002143;B11002148;B11002149;B11002150;B11002155;B11002164;B11002166;B11002168;B11002170;B11002172;B11003237;B11003238;B11003268;B11003275;B11003276;B11003282;B11003284;B11003344;B11004472;B11004474;B11004702;B11004704;B11004729;B11004736;B11004743;B11004791;B11005128;B11005131;B11005955;B11005956;B11005968;B11005969;B11005971;B11005973;B11005975;B11005993;B11006001;B11006009;B11006022;B11006087;B11006116;B11006123;B11006127;B11006128;B11006133;B11006134;B11006138;B11006139;B11006150;B11006153;B11006154;B11006155;B11006302;B11006303;B11006304;B11006307,12005.590163934427,0.006557377044373425
13,12224.511475409832,B11000012;B11000022;B11000034;B11000076;B11000163;B11000254;B11000268;B11000281;B11000282;B11000284;B11000298;B11000303;B11000306;B11000326;B11000328;B11000330;B11000331;B11000401;B11000402;B11000404;B11000407;B11000408;B11000412;B11000444;B11000559;B11000562;B11000563;B11000564;B11000578;B11000594;B11000597;B11000601;B11000603;B11000680;B11000715;B11000720;B11000738;B11000742;B11000756;B11000757;B11000761;B11000763;B11000765;B11000766;B11000767;B11000789;B11000790;B11000791;B11000793;B11000800;B11000803;B11000846;B11000881;B11000904;B11000919;B11000926;B11000954;B11000955;B11000957;B11000961;B11000967;B11000968;B11000969;B11000973;B11000974;B11000975;B11000976;B11000981;B11000982;B11000985;B11000990;B11000994;B11000998;B11001001;B11001003;B11001004;B11001007;B11001008;B11001012;B11001014;B11001016;B11001018;B11001020;B11001024;B11001026;B11001030;B11001031;B11001040;B11001041;B11001042;B11001044;B11001045;B11001047;B11001081;B11001083;B11001086;B11001087;B11001113;B11001135;B11001153;B11001155;B11001264;B11001266;B11001268;B11001270;B11001370;B11001512;B11001513;B11001527;B11001599;B11001614;B11001615;B11001619;B11001649;B11001654;B11001668;B11001670;B11001675;B11001684;B11001689;B11001691;B11001692;B11001699;B11001700;B11001703;B11001708;B11001750;B11001752;B11001756;B11001760;B11001763;B11001764;B11001765;B11001770;B11001776;B11001781;B11001783;B11001786;B11001787;B11001788;B11001789;B11001794;B11001795;B11001796;B11001799;B11001803;B11001812;B11001814;B11001816;B11001817;B11001818;B11001822;B11001833;B11001837;B11001841;B11001843;B11001845;B11001915;B11001916;B11001918;B11001920;B11001921;B11001924;B11001925;B11001928;B11001929;B11001935;B11001936;B11001938;B11001939;B11001942;B11001945;B11001946;B11001949;B11001950;B11001951;B11001952;B11001953;B11001963;B11001967;B11001972;B11001975;B11001979;B11001989;B11001991;B11001995;B11001999;B11002001;B11002002;B11002004;B11002006;B11002007;B11002012;B11002013;B11002016;B11002017;B11002021;B11002026;B11002029;B11002031;B11002033;B11002034;B11002042;B11002046;B11002049;B11002052;B11002055;B11002058;B11002059;B11002069;B11002071;B11002073;B11002079;B11002081;B11002106;B11002111;B11002113;B11002114;B11002124;B11002126;B11002127;B11002135;B11002138;B11002151;B11002163;B11002167;B11002170;B11002909;B11003237;B11003238;B11003267;B11003268;B11003271;B11003273;B11003274;B11003275;B11003276;B11003277;B11003280;B11003345;B11003346;B11004471;B11004472;B11004697;B11004701;B11004711;B11004713;B11004717;B11004730;B11004736;B11004792;B11005126;B11005128;B11005131;B11005968;B11005970;B11005971;B11005973;B11005975;B11005995;B11005997;B11006001;B11006013;B11006015;B11006020;B11006021;B11006023;B11006024;B11006087;B11006115;B11006116;B11006117;B11006125;B11006127;B11006137;B11006152;B11006303;B11006306;B11006307,12224.508196721312,0.003278688520367723
14,12346.363934426226,B11000022;B11000254;B11000268;B11000281;B11000282;B11000284;B11000285;B11000287;B11000305;B11000308;B11000325;B11000331;B11000332;B11000377;B11000384;B11000400;B11000403;B11000407;B11000408;B11000411;B11000446;B11000515;B11000577;B11000599;B11000603;B11000606;B11000680;B11000733;B11000741;B11000757;B11000759;B11000760;B11000761;B11000766;B11000791;B11000793;B11000795;B11000797;B11000802;B11000803;B11000804;B11000806;B11000841;B11000843;B11000877;B11000912;B11000918;B11000926;B11000929;B11000955;B11000960;B11000962;B11000964;B11000967;B11000969;B11000973;B11000980;B11000981;B11000992;B11000996;B11001008;B11001009;B11001013;B11001018;B11001019;B11001021;B11001024;B11001027;B11001031;B11001043;B11001044;B11001054;B11001055;B11001081;B11001086;B11001087;B11001089;B11001137;B11001142;B11001155;B11001156;B11001208;B11001267;B11001268;B11001512;B11001528;B11001609;B11001611;B11001616;B11001618;B11001620;B11001652;B11001653;B11001657;B11001667;B11001673;B11001675;B11001677;B11001678;B11001687;B11001692;B11001694;B11001695;B11001705;B11001708;B11001709;B11001760;B11001769;B11001771;B11001776;B11001780;B11001781;B11001785;B11001787;B11001788;B11001791;B11001799;B11001813;B11001814;B11001818;B11001822;B11001823;B11001840;B11001845;B11001910;B11001919;B11001922;B11001928;B11001937;B11001939;B11001944;B11001945;B11001947;B11001950;B11001963;B11001968;B11001973;B11001992;B11001994;B11002002;B11002003;B11002004;B11002006;B11002014;B11002015;B11002016;B11002021;B11002023;B11002026;B11002029;B11002031;B11002038;B11002040;B11002057;B11002072;B11002077;B11002087;B11002089;B11002092;B11002118;B11002137;B11002150;B11002152;B11002172;B11003270;B11003272;B11003274;B11003276;B11003278;B11003337;B11003339;B11003347;B11004472;B11004697;B11004701;B11004702;B11004707;B11004711;B11004712;B11004725;B11004726;B11004729;B11004748;B11005125;B11005955;B11005968;B11005970;B11005975;B11005995;B11005996;B11006001;B11006004;B11006007;B11006009;B11006012;B11006023;B11006025;B11006092;B11006093;B11006111;B11006115;B11006116;B11006124;B11006134;B11006135;B11006149;B11006153;B11006303,12346.360655737704,0.0032786885221867124
15,12396.537704918032,B11000022;B11000253;B11000264;B11000281;B11000283;B11000300;B11000303;B11000304;B11000324;B11000325;B11000339;B11000352;B11000384;B11000400;B11000402;B11000407;B11000518;B11000578;B11000593;B11000598;B11000601;B11000603;B11000613;B11000680;B11000715;B11000738;B11000742;B11000756;B11000757;B11000758;B11000765;B11000767;B11000790;B11000792;B11000802;B11000843;B11000846;B11000918;B11000923;B11000927;B11000954;B11000960;B11000962;B11000963;B11000965;B11000967;B11000969;B11000975;B11000976;B11000989;B11001005;B11001006;B11001008;B11001011;B11001016;B11001018;B11001024;B11001025;B11001029;B11001040;B11001041;B11001044;B11001054;B11001087;B11001135;B11001137;B11001154;B11001156;B11001265;B11001503;B11001513;B11001607;B11001614;B11001615;B11001616;B11001618;B11001620;B11001649;B11001650;B11001654;B11001661;B11001668;B11001670;B11001674;B11001675;B11001684;B11001689;B11001691;B11001692;B11001698;B11001699;B11001700;B11001705;B11001749;B11001757;B11001758;B11001761;B11001763;B11001765;B11001770;B11001776;B11001781;B11001783;B11001784;B11001788;B11001789;B11001802;B11001803;B11001814;B11001815;B11001819;B11001821;B11001836;B11001841;B11001846;B11001921;B11001925;B11001929;B11001935;B11001938;B11001940;B11001945;B11001949;B11001955;B11001965;B11001976;B11001978;B11001982;B11001997;B11001998;B11001999;B11002012;B11002013;B11002017;B11002020;B11002022;B11002024;B11002034;B11002042;B11002052;B11002067;B11002072;B11002076;B11002078;B11002080;B11002106;B11002138;B11002139;B11002141;B11002162;B11003237;B11003267;B11003269;B11003278;B11003280;B11003344;B11004471;B11004696;B11004701;B11004705;B11004716;B11004717;B11004720;B11004736;B11004745;B11005127;B11005130;B11005132;B11005972;B11005973;B11005975;B11005994;B11005995;B11005997;B11006002;B11006004;B11006007;B11006008;B11006018;B11006020;B11006025;B11006026;B11006089;B11006090;B11006116;B11006120;B11006130;B11006131;B11006142;B11006149;B11006153;B11006303,12396.540983606557,0.003278688525824691
16,12393.298360655732,B11000022;B11000272;B11000284;B11000286;B11000303;B11000326;B11000352;B11000353;B11000384;B11000403;B11000411;B11000559;B11000592;B11000594;B11000598;B11000600;B11000613;B11000680;B11000713;B11000737;B11000741;B11000744;B11000756;B11000760;B11000764;B11000768;B11000790;B11000798;B11000804;B11000841;B11000868;B11000879;B11000881;B11000904;B11000919;B11000922;B11000957;B11000959;B11000963;B11000965;B11000967;B11000973;B11000974;B11000981;B11000985;B11000989;B11001001;B11001003;B11001007;B11001012;B11001018;B11001019;B11001023;B11001033;B11001034;B11001039;B11001040;B11001077;B11001081;B11001085;B11001086;B11001088;B11001089;B11001094;B11001151;B11001153;B11001268;B11001270;B11001371;B11001512;B11001607;B11001608;B11001611;B11001618;B11001620;B11001655;B11001661;B11001663;B11001678;B11001684;B11001686;B11001687;B11001692;B11001693;B11001710;B11001751;B11001758;B11001759;B11001760;B11001763;B11001765;B11001769;B11001770;B11001774;B11001775;B11001779;B11001781;B11001784;B11001785;B11001800;B11001801;B11001816;B11001817;B11001833;B11001834;B11001835;B11001842;B11001917;B11001920;B11001931;B11001935;B11001941;B11001947;B11001955;B11001973;B11001978;B11001980;B11001989;B11001994;B11001997;B11001998;B11001999;B11002008;B11002009;B11002013;B11002016;B11002019;B11002021;B11002030;B11002047;B11002071;B11002073;B11002076;B11002088;B11002091;B11002096;B11002133;B11002135;B11002160;B11002909;B11003271;B11003273;B11003274;B11003278;B11003280;B11003283;B11003344;B11004471;B11004474;B11004475;B11004704;B11004705;B11004707;B11004722;B11004727;B11004744;B11004747;B11004791;B11005130;B11005131;B11005956;B11005967;B11005969;B11005972;B11005973;B11005975;B11005995;B11006007;B11006009;B11006014;B11006015;B11006017;B11006018;B11006087;B11006089;B11006094;B11006116;B11006120;B11006121;B11006127;B11006132;B11006136;B11006140;B11006155,12393.295081967213,0.0032786885185487336
17,12492.970491803271,B11000022;B11000249;B11000253;B11000264;B11000281;B11000301;B11000303;B11000305;B11000324;B11000325;B11000328;B11000352;B11000353;B11000384;B11000387;B11000402;B11000408;B11000514;B11000559;B11000562;B11000582;B11000593;B11000596;B11000598;B11000600;B11000603;B11000680;B11000713;B11000737;B11000741;B11000744;B11000756;B11000757;B11000760;B11000764;B11000766;B11000767;B11000768;B11000789;B11000799;B11000846;B11000869;B11000880;B11000881;B11000919;B11000921;B11000923;B11000956;B11000958;B11000960;B11000962;B11000964;B11000966;B11000971;B11000972;B11000973;B11000984;B11000986;B11000989;B11001003;B11001008;B11001012;B11001015;B11001021;B11001025;B11001026;B11001035;B11001036;B11001042;B11001043;B11001081;B11001085;B11001086;B11001090;B11001091;B11001135;B11001154;B11001268;B11001270;B11001368;B11001512;B11001527;B11001609;B11001610;B11001613;B11001614;B11001618;B11001619;B11001649;B11001656;B11001662;B11001667;B11001668;B11001678;B11001682;B11001684;B11001686;B11001687;B11001692;B11001751;B11001756;B11001758;B11001760;B11001767;B11001771;B11001772;B11001776;B11001785;B11001788;B11001813;B11001814;B11001824;B11001826;B11001843;B11001845;B11001846;B11001912;B11001926;B11001929;B11001940;B11001942;B11001947;B11001948;B11001953;B11001954;B11001964;B11001972;B11001975;B11001989;B11001993;B11001995;B11002005;B11002006;B11002007;B11002008;B11002019;B11002020;B11002024;B11002027;B11002029;B11002041;B11002063;B11002069;B11002076;B11002079;B11002090;B11002093;B11002095;B11002109;B11002118;B11002127;B11002131;B11002155;B11002160;B11002162;B11003237;B11003238;B11003266;B11003274;B11003280;B11003337;B11004472;B11004475;B11004700;B11004709;B11004716;B11004722;B11004735;B11004744;B11004745;B11005130;B11005955;B11005974;B11005995;B11005996;B11006005;B11006006;B11006010;B11006011;B11006016;B11006019;B11006022;B11006094;B11006116;B11006118;B11006125;B11006127;B11006128;B11006129;B11006137;B11006138;B11006140;B11006151;B11006152,12492.967213114754,0.003278688516729744
18,12575.754098360652,B11000022;B11000254;B11000268;B11000281;B11000282;B11000284;B11000301;B11000302;B11000303;B11000324;B11000326;B11000328;B11000358;B11000374;B11000387;B11000401;B11000402;B11000403;B11000407;B11000408;B11000411;B11000559;B11000562;B11000582;B11000594;B11000597;B11000600;B11000713;B11000735;B11000740;B11000742;B11000744;B11000756;B11000758;B11000762;B11000764;B11000766;B11000791;B11000798;B11000869;B11000871;B11000876;B11000881;B11000909;B11000912;B11000919;B11000926;B11000957;B11000959;B11000961;B11000967;B11000970;B11000978;B11000982;B11000997;B11000999;B11001007;B11001012;B11001019;B11001023;B11001034;B11001035;B11001040;B11001041;B11001080;B11001081;B11001083;B11001084;B11001087;B11001089;B11001090;B11001113;B11001153;B11001270;B11001367;B11001503;B11001513;B11001607;B11001608;B11001611;B11001617;B11001618;B11001622;B11001654;B11001660;B11001662;B11001663;B11001676;B11001682;B11001684;B11001685;B11001690;B11001691;B11001692;B11001710;B11001749;B11001752;B11001754;B11001756;B11001761;B11001762;B11001767;B11001773;B11001775;B11001780;B11001781;B11001797;B11001799;B11001811;B11001816;B11001818;B11001825;B11001836;B11001837;B11001842;B11001917;B11001919;B11001924;B11001929;B11001935;B11001937;B11001943;B11001946;B11001948;B11001949;B11001964;B11001978;B11001980;B11001981;B11001992;B11001999;B11002000;B11002001;B11002011;B11002012;B11002016;B11002019;B11002021;B11002023;B11002030;B11002035;B11002040;B11002053;B11002058;B11002070;B11002079;B11002081;B11002084;B11002111;B11002113;B11002129;B11002140;B11002143;B11002164;B11002905;B11003237;B11003266;B11003270;B11003272;B11003279;B11003280;B11003282;B11003339;B11003347;B11003348;B11004473;B11004698;B11004702;B11004711;B11004712;B11004716;B11004733;B11004743;B11005125;B11005128;B11005130;B11005969;B11005970;B11005974;B11005975;B11005995;B11006087;B11006089;B11006116;B11006119;B11006120;B11006121;B11006127;B11006145;B11006147;B11006150;B11006152;B11006155;B11006303;B11006307,12575.754098360656,3.637978807091713e-12
19,12832.967213114753,B11000008;B11000077;B11000255;B11000271;B11000282;B11000283;B11000285;B11000287;B11000299;B11000302;B11000304;B11000306;B11000328;B11000330;B11000358;B11000374;B11000387;B11000401;B11000404;B11000407;B11000409;B11000412;B11000446;B11000518;B11000565;B11000594;B11000598;B11000601;B11000603;B11000613;B11000680;B11000712;B11000733;B11000737;B11000741;B11000757;B11000760;B11000761;B11000763;B11000766;B11000789;B11000791;B11000793;B11000803;B11000841;B11000867;B11000868;B11000870;B11000921;B11000922;B11000929;B11000955;B11000957;B11000962;B11000964;B11000968;B11000970;B11000972;B11000979;B11000980;B11000982;B11000991;B11000993;B11000997;B11000998;B11001012;B11001013;B11001019;B11001023;B11001025;B11001032;B11001037;B11001047;B11001053;B11001060;B11001069;B11001094;B11001151;B11001155;B11001156;B11001157;B11001264;B11001266;B11001270;B11001367;B11001513;B11001607;B11001608;B11001610;B11001615;B11001617;B11001622;B11001624;B11001651;B11001656;B11001657;B11001661;B11001673;B11001680;B11001682;B11001683;B11001691;B11001699;B11001700;B11001705;B11001711;B11001749;B11001750;B11001752;B11001767;B11001771;B11001775;B11001781;B11001785;B11001790;B11001792;B11001795;B11001796;B11001816;B11001817;B11001821;B11001822;B11001826;B11001827;B11001843;B11001844;B11001909;B11001922;B11001924;B11001927;B11001931;B11001938;B11001941;B11001943;B11001945;B11001948;B11001966;B11001979;B11001980;B11001982;B11001998;B11001999;B11002000;B11002007;B11002010;B11002012;B11002015;B11002016;B11002019;B11002021;B11002026;B11002028;B11002035;B11002037;B11002056;B11002066;B11002072;B11002078;B11002090;B11002092;B11002095;B11002113;B11002123;B11002129;B11002151;B11002155;B11002157;B11002174;B11002905;B11003238;B11003272;B11003275;B11003279;B11003282;B11003344;B11003346;B11004472;B11004696;B11004701;B11004706;B11004710;B11004722;B11004724;B11004726;B11004746;B11004792;B11005132;B11005956;B11005968;B11005993;B11005996;B11005998;B11005999;B11006002;B11006004;B11006005;B11006007;B11006010;B11006012;B11006013;B11006017;B11006018;B11006020;B11006021;B11006022;B11006024;B11006026;B11006094;B11006111;B11006115;B11006116;B11006117;B11006118;B11006123;B11006124;B11006125;B11006126;B11006127;B11006153;B11006303;B11006304;B11006307,12832.967213114754,1.8189894035458565e-12
20,12676.7606557377,B11000014;B11000017;B11000074;B11000163;B11000224;B11000272;B11000285;B11000298;B11000299;B11000301;B11000305;B11000328;B11000332;B11000374;B11000386;B11000387;B11000388;B11000400;B11000402;B11000409;B11000514;B11000517;B11000564;B11000565;B11000578;B11000593;B11000596;B11000597;B11000598;B11000599;B11000602;B11000613;B11000678;B11000710;B11000756;B11000760;B11000765;B11000766;B11000767;B11000793;B11000800;B11000801;B11000845;B11000869;B11000870;B11000877;B11000880;B11000881;B11000912;B11000921;B11000954;B11000955;B11000956;B11000958;B11000960;B11000961;B11000962;B11000964;B11000965;B11000966;B11000969;B11000970;B11000972;B11000973;B11000976;B11000977;B11000979;B11000980;B11000981;B11000982;B11000983;B11000984;B11000986;B11000987;B11000989;B11000993;B11000996;B11000997;B11000999;B11001000;B11001001;B11001003;B11001004;B11001006;B11001008;B11001009;B11001011;B11001012;B11001014;B11001015;B11001016;B11001017;B11001018;B11001021;B11001022;B11001023;B11001027;B11001028;B11001030;B11001031;B11001032;B11001034;B11001035;B11001039;B11001041;B11001042;B11001043;B11001044;B11001060;B11001081;B11001083;B11001084;B11001085;B11001086;B11001111;B11001151;B11001155;B11001157;B11001268;B11001513;B11001617;B11001620;B11001624;B11001651;B11001656;B11001663;B11001669;B11001690;B11001693;B11001694;B11001700;B11001708;B11001751;B11001753;B11001755;B11001760;B11001762;B11001764;B11001765;B11001767;B11001769;B11001775;B11001780;B11001787;B11001789;B11001790;B11001793;B11001794;B11001796;B11001812;B11001813;B11001815;B11001818;B11001821;B11001822;B11001824;B11001825;B11001826;B11001828;B11001830;B11001831;B11001833;B11001834;B11001835;B11001840;B11001842;B11001843;B11001846;B11001909;B11001911;B11001917;B11001918;B11001919;B11001922;B11001924;B11001927;B11001929;B11001930;B11001935;B11001936;B11001937;B11001938;B11001941;B11001942;B11001943;B11001944;B11001945;B11001946;B11001948;B11001949;B11001950;B11001953;B11001956;B11001963;B11001965;B11001968;B11001969;B11001971;B11001972;B11001976;B11001977;B11001978;B11001980;B11001982;B11001989;B11001992;B11001997;B11001999;B11002000;B11002001;B11002002;B11002004;B11002006;B11002007;B11002008;B11002010;B11002012;B11002013;B11002014;B11002015;B11002016;B11002017;B11002019;B11002023;B11002024;B11002027;B11002028;B11002030;B11002032;B11002033;B11002034;B11002037;B11002040;B11002041;B11002044;B11002045;B11002046;B11002047;B11002048;B11002049;B11002051;B11002053;B11002054;B11002056;B11002057;B11002060;B11002064;B11002066;B11002069;B11002071;B11002076;B11002078;B11002079;B11002080;B11002081;B11002083;B11002088;B11002090;B11002091;B11002093;B11002096;B11002106;B11002107;B11002111;B11002114;B11002118;B11002121;B11002123;B11002124;B11002128;B11002130;B11002131;B11002132;B11002135;B11002138;B11002143;B11002149;B11002150;B11002151;B11002152;B11002154;B11002156;B11002157;B11002160;B11002161;B11002163;B11002164;B11002165;B11002166;B11002167;B11002172;B11002174;B11003237;B11003266;B11003267;B11003268;B11003270;B11003271;B11003272;B11003274;B11003280;B11003282;B11003283;B11003284;B11003344;B11003348;B11003349;B11004698;B11004700;B11004717;B11004741;B11005125;B11005131;B11005132;B11005133;B11005969;B11005971;B11005973;B11005975;B11005993;B11005995;B11005998;B11006006;B11006011;B11006012;B11006024;B11006089;B11006092;B11006110;B11006111;B11006120;B11006121;B11006124;B11006127;B11006141;B11006302;B11006303;B11006304,12676.754098360656,0.006557377044373425
21,11518.016393442624,B11000010;B11000012;B11000239;B11000256;B11000272;B11000284;B11000286;B11000304;B11000306;B11000311;B11000331;B11000339;B11000377;B11000384;B11000386;B11000400;B11000401;B11000410;B11000412;B11000513;B11000559;B11000572;B11000594;B11000598;B11000600;B11000603;B11000607;B11000613;B11000627;B11000711;B11000739;B11000757;B11000761;B11000763;B11000765;B11000766;B11000791;B11000792;B11000797;B11000799;B11000800;B11000803;B11000841;B11000867;B11000926;B11000927;B11000956;B11000959;B11000961;B11000968;B11000972;B11000974;B11000976;B11000980;B11000985;B11000986;B11000998;B11001016;B11001017;B11001025;B11001039;B11001041;B11001055;B11001056;B11001077;B11001090;B11001111;B11001156;B11001157;B11001267;B11001367;B11001599;B11001609;B11001614;B11001621;B11001656;B11001657;B11001661;B11001673;B11001680;B11001682;B11001683;B11001691;B11001699;B11001708;B11001711;B11001749;B11001750;B11001774;B11001776;B11001783;B11001787;B11001788;B11001792;B11001794;B11001795;B11001798;B11001815;B11001819;B11001820;B11001828;B11001829;B11001847;B11001913;B11001931;B11001936;B11001941;B11001946;B11001948;B11001955;B11001965;B11001973;B11001995;B11001998;B11002004;B11002005;B11002006;B11002017;B11002019;B11002021;B11002027;B11002029;B11002031;B11002034;B11002045;B11002063;B11002068;B11002077;B11002087;B11002088;B11002090;B11002093;B11002122;B11002153;B11002155;B11002159;B11002163;B11002909;B11003272;B11003274;B11003279;B11003282;B11003344;B11003346;B11003347;B11004473;B11004697;B11004702;B11004707;B11004711;B11004724;B11004725;B11004727;B11004748;B11005125;B11005955;B11005968;B11005970;B11005975;B11005995;B11005997;B11006004;B11006007;B11006016;B11006017;B11006018;B11006024;B11006026;B11006089;B11006092;B11006093;B11006110;B11006111;B11006115;B11006116;B11006120;B11006121;B11006124;B11006125;B11006126;B11006127;B11006132;B11006141;B11006149;B11006150;B11006151;B11006155,11518.016393442624,0.0
22,0.0,,0.0,0.0
23,0.0,,0.0,0.0
24,0.0,,0.0,0.0
